 STATEMENTS ,Months,Months1,Months2
"shares in Millions, $ in Millions","Dec. 31, 2019","Dec. 31, 2018","Dec. 31, 2017"
Revenue,"$ 70,697","$ 55,838","$ 40,653"
Costs and expenses:,,,
Cost of revenue,"12,770","9,355","5,454"
Research and development,"13,600","10,273","7,754"
Marketing and sales,"9,876","7,846","4,725"
General and administrative,"10,465","3,451","2,517"
Total costs and expenses,"46,711","30,925","20,450"
Income from operations,"23,986","24,913","20,203"
"Interest and other income, net",826,448,391
Income before provision for income taxes,"24,812","25,361","20,594"
Provision for income taxes,"6,327","3,249","4,660"
Net income,"18,485","22,112","15,934"
Less: Net income attributable to participating securities,0,-1,-14
Net income attributable to Class A and Class B common stockholders,"$ 18,485","$ 22,111","$ 15,920"
Earnings per share attributable to Class A and Class B common stockholders:,,,
Basic (in dollars per share),$ 6.48,$ 7.65,$ 5.49
Diluted (in dollars per share),$ 6.43,$ 7.57,$ 5.39
Weighted-average shares used to compute earnings per share attributable to Class A and Class B common stockholders:,,,
Basic (in shares),"2,854","2,890","2,901"
Diluted (in shares),"2,876","2,921","2,956"
Share-based compensation expense included in costs and expenses:,,,
Share-based compensation expense,"$ 4,836","$ 4,152","$ 3,723"
Cost of revenue,,,
Share-based compensation expense included in costs and expenses:,,,
Share-based compensation expense,377,284,178
Research and development,,,
Share-based compensation expense included in costs and expenses:,,,
Share-based compensation expense,"3,488","3,022","2,820"
Marketing and sales,,,
Share-based compensation expense included in costs and expenses:,,,
Share-based compensation expense,569,511,436
General and administrative,,,
Share-based compensation expense included in costs and expenses:,,,
Share-based compensation expense,$ 402,$ 335,$ 289
